TR:mock:CellLine,TR:Ngf,TR:Mek1i,TR:Jnk1i,TR:Pik3r1i,DA:Klf2,DA:Klf4,DA:Btg2,DA:Dusp6,DA:Maff,DA:Jund,DA:Fosl1,DA:Junb,DA:Itga1,DA:Klf5,DA:Klf6,DA:Myc,DA:Pik3ip1,DA:Tieg1,DA:Cited2,DA:Zfp36,DA:Dgka,DA:Prkcd,DA:Plat,DA:Npy,DA:Mmp3,DV:Klf2,DV:Klf4,DV:Btg2,DV:Dusp6,DV:Maff,DV:Jund,DV:Fosl1,DV:Junb,DV:Itga1,DV:Klf5,DV:Klf6,DV:Myc,DV:Pik3ip1,DV:Tieg1,DV:Cited2,DV:Zfp36,DV:Dgka,DV:Prkcd,DV:Plat,DV:Npy,DV:Mmp3
1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.111491699,1.23407,0.315586513,0.016216918,0.419322451,0.572973696,0.510285048,0.593758166,0.736481558,0.411222209,0.195590852,0.611963292,0.56414,0.230828629,0.516350323,0.475964876,1.255062519,0.69389,0.755776237,1.184375036,0.638976338
1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.324310586,3.557768133,3.866075944,5.250458614,4.616956392,0.961960937,14.53059866,3.310274447,0.97274295,0.505811102,0.938701449,3.777122354,0.373589852,1.395814635,0.87517,1.276156547,1.969390595,0.867150775,1.16729,1.656979105,0.533666666
1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47292,0.52639,0.383837277,0.737517963,0.522483769,0.371379561,1.326051504,0.496414784,0.665793502,0.90685,0.379117786,0.380901578,0.464933646,0.405772187,0.448416251,0.559867074,1.317927426,0.75342,0.58610688,74.44461503,0.585353108
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.376396196,1.114481935,1.420613391,7.729756574,1.85056,0.391725611,6.020585566,2.202794134,0.58169,0.79864,0.605056153,1.467540354,0.204588955,0.921260117,0.499166906,0.69144842,0.734965024,0.584888535,0.48675,0.319426572,0.617953482
1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.775146257,3.025123374,1.919709437,2.222856105,3.534389518,0.639837657,1.031592123,4.491740495,0.722857866,0.634818362,0.433275777,0.925014335,0.316715002,0.492026381,0.902724424,0.772992836,1.53501,0.73047,0.65183468,1.807920936,0.635308855
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.60249,12.04854103,9.588556638,4.173942181,17.15837484,0.469063931,55.82693754,21.7815789,0.508018448,0.564070262,0.966154937,0.638784252,0.029501366,0.604454055,2.38429,4.905525608,0.423358333,0.379746671,0.547068455,1.553698431,0.56658364
1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.595015805,1.085432518,0.719235049,1.338772413,3.49055,0.766764332,1.368397685,0.76679,1.255106081,0.803638515,0.654947538,0.76809348,0.663479759,0.844741133,0.700281989,0.568257594,0.582378014,1.083949247,0.811301209,1.376573637,0.649989839
1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.771405732,5.383150418,3.467368642,113.2130132,21.67723128,1.069814995,193.3799214,5.405286388,0.960914189,3.793620602,3.402649296,3.54177187,0.10959694,1.508510691,10.39445018,2.681341314,0.614763808,2.388158314,1.375761558,8.654881937,3.625807151
1,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.112243288,0.75607,0.260079596,0.019605221,0.321125716,0.54793016,0.467191443,0.617630209,0.551473869,0.396856651,0.271520637,0.734421979,0.51246,0.170988712,0.671362964,0.589483954,0.519730203,0.65339,0.706092595,0.982915847,0.507128323
1,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.155038102,2.482812779,2.450794539,11.57363834,11.03096509,0.718265098,39.77739125,1.807566117,0.982548728,0.690352417,0.948538248,1.342524424,0.256310235,0.853590778,1.06877,1.214578239,0.965574011,1.013604433,1.76619,2.353112644,0.530815582
1,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.49539,0.57805,0.508635482,0.523508029,0.597595182,0.46855214,1.625622748,0.639693989,0.869398705,0.75209,0.510166166,0.586745276,0.380208356,0.60538552,0.533781841,0.757202035,0.56331206,0.93031,0.571292117,1.094049338,0.574524174
